"","peaks","chrom","start","stop","Input.0.1","Input.0.2","Input.60.1","Input.60.2","Rap1.0.1","Rap1.0.2","Rap1.60.1","Rap1.60.2","FLAG.0.1","FLAG.0.2","FLAG.10.1","FLAG.10.2","FLAG.20.1","FLAG.20.2","FLAG.30.1","FLAG.30.2","FLAG.40.1","FLAG.40.2","FLAG.50.1","FLAG.50.2","FLAG.60..1","FLAG.60.2","FLAG.90.1","FLAG.90.2","FLAG.120.1","FLAG.120.2","FLAG.150.1","FLAG.150.2","MYC.0..2","MYC.0.1","MYC.10.1","MYC.10.2","MYC.20.1","MYC.20.2","MYC.30.1","MYC.30.2","MYC.40.1","MYC.40.2","MYC.50.1","MYC.50.2","MYC.60.1","MYC.60.2","MYC.90.1","MYC.90.2","MYC120.2","MYC.120.1","MYC.150.1","MYC.150.2"
"1","Peak1","chrXII","678048","669989","6932.42816326531","5981.95285714286","6255.86897959184","6462.09571428571","11146.6297959184","10157.3253061224","10130.09","9913.57571428571","10593.9632653061","7571.78285714286","9241.87714285714","9848.17612244898","10041.4089795918","9446.43469387755","9548.94081632653","8991.82306122449","8825.82489795918","9959.21591836735","7931.06","9165.37979591837","9801.41183673469","8618.69367346939","8698.12408163265","8218.18448979592","8372.78428571429","8955.62734693878","9172.22306122449","8304.87408163265","4722.70612244898","8480.98265306122","7318.71163265306","7812.93448979592","7567.94673469388","6798.01244897959","8812.46306122449","6929.64673469388","7086.02408163265","7521.27693877551","7237.08632653061","7080.80591836735","8988.16775510204","6964.54040816327","7789.9893877551","8532.81653061224","8997.97448979592","7414.70612244898","9508.60959183674","7981.20142857143"
"2","Peak10","chrIX","136079","127996","7777.33148717949","6214.31712820513","6858.21805128205","6797.94174358974","11186.2123076923","11063.9979487179","11114.6777435897","10944.7085128205","10499.0758974359","7067.40041025641","9300.09969230769","9814.00615384615","10428.8816410256","9254.32656410256","10091.4184615385","9074.06871794872","9003.21333333333","10041.6086153846","8546.14933333333","9291.40656410256","10482.4129230769","8681.23364102564","9326.26051282051","8629.12984615385","9118.48492307692","9745.96676923077","9822.25046153846","9062.0041025641","5000.89764102564","9575.67794871795","8299.1721025641","8904.9277948718","8468.51938461539","7749.41743589744","9440.98194871795","7805.94892307692","8477.40512820513","8732.12553846154","8191.33661538462","8327.97907692308","9868.61374358974","8175.43774358974","8808.7837948718","9583.72656410256","9769.0921025641","8408.24656410256","10413.4769230769","8440.34728205128"
"3","Peak100","chrXIII","302578","294554","6350.43343589744","5275.06892307692","5969.60246153846","5951.19384615385","11851.3314871795","10743.2996923077","10747.4018461538","10641.9401025641","12409.8853333333","9164.07117948718","11918.8978461538","11138.0529230769","11912.9425641026","11472.2836923077","10516.9288205128","10652.8535384615","9852.13661538462","11048.0262564103","8713.82912820513","10120.8783589744","10208.2383589744","9639.59692307692","9334.29374358974","8144.98174358974","9401.62276923077","9822.64943589744","9271.10441025641","9046.37148717949","3861.23364102564","7650.34666666667","6347.63753846154","6696.56492307692","6217.67384615385","5416.39692307692","7764.02974358974","5888.30687179487","6335.29087179487","6650.51343589744","6753.36102564103","6847.9842051282","9042.65271794872","6642.83835897436","7844.37374358974","8657.36492307692","9081.51117948718","6835.01476923077","9913.31302564103","7771.37661538462"
"4","Peak101","chrII","49127","41019","8617.41277486911","7377.91916230366","7948.7522513089","8030.48984293194","11370.9195811518","10622.8885863874","10223.0934031414","10402.7530890052","11507.1380104712","7930.00523560209","9957.18387434555","10946.6691099476","11354.5993717277","11064.9845026178","11161.4835602094","10388.9019895288","9786.19769633508","11558.4077486911","9330.93738219895","10591.6441884817","11106.942408377","10192.5985340314","10105.4584293194","9638.72146596859","9597.10261780105","10495.6869109948","10822.2353926702","9550.29863874346","5518.91434554974","10100.9419895288","8707.97089005236","9019.36209424084","8984.37696335079","7550.59204188482","9810.01780104712","8075.25528795812","8512.3367539267","8350.09842931937","8683.61507853403","8322.94806282722","10403.3047120419","7841.00607329843","9359.72607329843","9616.10408376963","10202.9593717277","9069.25340314136","10550.7463874346","8869.20272251309"
"5","Peak102","chrX","161744","154424","6775.30348837209","5879.88697674419","6391.35186046512","6510.9376744186","12772.71","11902.736744186","11728.0944186047","11467.9604651163","12621.1279069767","8201.47953488372","11049.5118604651","11468.3753488372","12065.5834883721","12300.7993023256","10870.0069767442","11005.5865116279","10057.5651162791","12189.7572093023","8621.91325581395","11315.9413953488","10529.5953488372","10827.9079069767","9579.04372093023","9076.55720930233","9454.3288372093","10339.7858139535","9577.58697674419","9236.49627906977","3861.20209302326","8111.79302325581","7178.69279069767","7715.58581395349","7016.07162790698","5818.46558139535","8490.64534883721","6211.86953488372","6951.6111627907","6940.86651162791","7393.05930232558","6710.69046511628","9925.99279069767","6412.54465116279","8185.26441860465","9035.33860465116","9909.55581395349","7444.53627906977","10850.4830232558","8183.42418604651"
"6","Peak103","chrXIII","655019","646961","7710.13666666667","6586.55666666667","6831.26729166667","6971.58229166667","8955.77","8538.91979166667","8915.43125","8892.12375","10170.748125","6655.14083333333","8952.12833333333","9103.87979166667","9635.87541666667","8614.42875","9196.56354166667","8568.47354166667","8598.18895833333","9510.70416666667","7746.12416666667","8462.68104166667","9474.82125","8393.12916666667","8600.66791666667","7758.23791666667","8311.081875","8190.17166666667","8922.42","7996.976875","4541.31208333333","8184.15416666667","7383.264375","7696.26708333333","7301.44625","6761.33520833333","8376.05958333333","6858.27625","7117.08520833333","7178.515625","7186.440625","7429.18979166667","8900.421875","6902.32020833333","7585.94354166667","8636.20395833333","8938.33104166667","7262.19770833333","9062.544375","7839.92020833333"
"7","Peak104","chrX","549453","541388","7957.69916666667","6961.56416666667","7107.993125","7399.24791666667","9804.09583333333","8919.22666666667","9142.431875","9122.05875","11193.3079166667","7413.23479166667","10189.43875","10210.9160416667","10918.253125","10056.9966666667","10439.9254166667","9648.70020833333","9169.36104166667","10050.649375","8321.778125","9551.82270833333","10097.4289583333","9163.18333333333","9005.66604166667","8588.06083333333","8909.5225","9568.58541666667","9563.86291666667","8741.39104166667","4510.11875","8865.72041666667","7412.815","8147.689375","7468.734375","6707.81979166667","8846.27666666667","6928.4325","7301.42604166667","7901.24625","7390.49","7360.31041666667","9591.40416666667","7162.66104166667","8375.30708333333","9004.64604166667","9484.60520833333","7483.01520833333","10155.6589583333","8408.400625"
"8","Peak105","chrXI","622670","614614","7107.72418848168","5668.10952879581","6404.02282722513","6366.39811518325","11147.594973822","10261.1463874346","10197.3430366492","10171.8184293194","11183.1086910995","7020.4580104712","9388.50638743455","9936.53905759162","10723.2408376963","10008.3047120419","9882.4012565445","9343.78073298429","9245.72858638743","10197.1107853403","8132.03371727749","9259.07811518325","9999.73717277487","8965.96439790576","8661.64062827225","8422.54596858639","8633.76837696335","9617.05172774869","9652.397486911","8497.62492146597","4249.51057591623","8165.19413612565","7225.87685863874","7642.41089005236","6948.62387434555","6129.52397905759","8158.16984293194","6784.14701570681","6825.72712041885","7076.01277486911","7072.78638743455","7094.80083769634","9147.07581151833","6787.41947643979","7819.18219895288","8293.77403141361","8562.39581151832","7322.99602094241","9294.67246073299","7833.51958115183"
"9","Peak106","chrXV","1074734","1066935","8311.88258064516","7143.65322580645","7558.74032258065","7797.13483870968","10468.5993548387","9407.45709677419","9852.34193548387","9492.17580645161","10603.0287096774","6922.41838709677","8986.21612903226","9711.74","10151.5074193548","9015.54741935484","10182.075483871","9023.52838709677","9211.08483870968","9741.86322580645","8458.56096774194","8666.96709677419","10468.6058064516","8793.97870967742","8799.31258064516","9033.02516129032","8742.58806451613","9080.81483870968","9790.85516129032","8845.60064516129","5228.31612903226","9846.35225806452","8744.56903225806","9442.26838709677","8597.99548387097","7804.41903225806","9892.81677419355","8084.34903225806","8267.42774193548","8620.30709677419","8294.60967741936","8458.54451612903","9985.10322580645","8074.08580645161","9257.26290322581","8774.24419354839","9807.37483870968","8527.78064516129","10143.6725806452","8704.41451612903"
"10","Peak107","chrIV","325915","317860","8718.60225641026","7677.49333333333","7476.74748717949","8036.7202051282","8915.49251282051","8161.79343589744","8618.4118974359","8679.92964102564","10398.8441025641","6641.11712820513","8508.33271794872","9395.2198974359","9836.75856410256","8474.0201025641","9807.12923076923","8730.7597948718","8904.77846153846","9650.64594871795","8091.93271794872","8824.96225641026","10281.2038974359","8429.30235897436","8669.20492307692","8369.62502564103","8562.96430769231","9529.69169230769","10153.3710769231","8330.70769230769","4907.96328205128","9334.22051282051","8184.14338461539","8535.84","8399.65661538462","7686.59958974359","9127.60307692308","7582.55056410256","7831.67774358974","7852.63692307692","7760.05517948718","7788.70071794872","9702.31138461538","7441.87507692308","8343.08102564103","8994.61723076923","8532.10564102564","8033.97805128205","9228.85394871795","7775.96020512821"
