Site_Chr	Peak Id	Site_Pos	Mapped_Chr	Mapped_Pos	0	10	20	30	40	50	60	90	120	150	Val_init	Val_fit	SSR	BGD	Residency in Minutes	0	10	20	30	40	50	60	90	120	150
chrXIV	Peak427	456264	chrXIV	456165	-0.287889	-0.404751	-0.093999	-0.086602	-0.127629	0.082014	0.07275	0.056659	-0.058513	0.016662	2.00E-03	6.56E-02	6.61E-02	9.27E-01	0.254001772525969	-0.212097	-0.212097	-0.212097	-0.212092	-0.176187	-0.123899	-0.07872	0.006126	0.048108	0.085971
chrXI	Peak447	230878	chrXI	231004	-0.557371	-1.427007	-0.698179	-0.60568	-0.35687	-0.04796	0.098216	-0.037492	-0.430958	-0.132241	4.00E-03	7.47E-02	4.57E-01	7.35E-01	0.223133081210802	-0.782799	-0.782799	-0.782799	-0.782802	-0.645114	-0.449887	-0.284356	0.023271	0.173707	0.311543
chrXIII	Peak510	661690	chrXIII	661839	-0.168145	-0.566733	-0.044363	-0.250246	-0.05419	0.016745	0.171968	0.080739	-0.280237	-0.11349	4.00E-03	1.33E-01	1.72E-01	9.15E-01	0.125511837272397	-0.244856	-0.244856	-0.244856	-0.244854	-0.2028	-0.14224	-0.090112	0.007318	0.0555	0.099355
chrXII	Peak567	611969	chrXII	611987	-0.050881	-0.116279	0.051278	-0.176606	0.132452	0.160726	0.196923	0.286714	-0.225666	-0.106965	4.00E-03	1.62E-01	1.60E-01	9.76E-01	0.102860467307446	-0.070635	-0.070635	-0.070635	-0.070635	-0.058516	-0.041048	-0.026003	0.002157	0.016079	0.028732
chrVII	Peak586	576717	chrVII	576583	-0.045593	-0.064934	0.095057	-4.9E-05	0.052516	0.079209	0.176349	-0.05209	0.046846	0.048934	4.00E-03	1.53E+00	3.29E-02	9.99E-01	0.010886507937026	-0.002544	-0.002544	-0.002544	-0.002544	-0.002103	-0.001473	-0.00093	8.1E-05	0.000582	0.001038
chrXV	Peak610	461950	chrXV	461973	-0.075991	-0.052323	-0.035693	0.030505	-0.011027	0.121619	0.138064	0.283082	-0.209978	0.297506	4.00E-03	3.71E-01	1.40E-01	9.89E-01	0.044973816244183	-0.032829	-0.032829	-0.032829	-0.032829	-0.027165	-0.019031	-0.012051	0.001049	0.007506	0.013373
chrX	Peak626	603313	chrX	602996	-0.039715	-0.02578	-0.00299	0.04232	-0.035626	0.029321	0.04767	0.0528	0.041901	0.014261	4.00E-03	3.20E-01	6.33E-03	9.98E-01	0.052149759088973	-0.006204	-0.006204	-0.006204	-0.006204	-0.005135	-0.003599	-0.002279	0.000196	0.001426	0.002527
chrIV	Peak655	894114	chrIV	894179	-0.041063	-0.452116	-0.08582	-0.1312	0.04049	0.136463	0.107041	0.02256	-0.251911	-0.117411	1.00E-03	1.35E-01	1.43E-01	9.42E-01	0.123736067009515	-0.168841	-0.168841	-0.168841	-0.168841	-0.139911	-0.098121	-0.062188	0.005169	0.038439	0.068634
chrIV	Peak669	334326	chrIV	334935	-0.001485	-0.198448	-0.105325	-0.176857	0.023071	-0.024957	-0.006115	-0.048599	-0.088191	0.113158	2.00E-03	8.21E-02	2.78E-02	9.59E-01	0.202909659587392	-0.11846	-0.11846	-0.11846	-0.118459	-0.09834	-0.069117	-0.043861	0.003398	0.02695	0.048201
chrVII	Peak679	287292	chrVII	288204	0.031022	-0.13378	-0.040224	-0.08333	-0.086285	0.045326	0.04726	0.10528	0.087331	0.186232	4.00E-03	9.70E-02	3.58E-02	9.81E-01	0.171868135479251	-0.055308	-0.055308	-0.055308	-0.055309	-0.045893	-0.032234	-0.020471	0.00166	0.012638	0.022487
